07.05.2019,11:04,140,PT1,PT2,PT3,PT4,PT5
07.05.2019,11:04,140,19,35,25,26,31
07.05.2019,11:04,140,19,36,25,26,31
07.05.2019,11:04,140,19,36,25,26,31
07.05.2019,11:04,140,19,36,25,26,31
07.05.2019,11:04,140,19,37,25,26,31
07.05.2019,11:04,140,19,37,26,26,31
07.05.2019,11:04,140,19,38,26,26,31
07.05.2019,11:04,140,19,38,26,27,31
07.05.2019,11:04,140,19,38,26,27,32
07.05.2019,11:04,140,19,39,26,27,32
07.05.2019,11:04,140,19,39,26,27,32
07.05.2019,11:04,140,19,40,26,27,32
07.05.2019,11:04,140,19,40,26,27,32
07.05.2019,11:04,140,19,41,26,28,32
07.05.2019,11:04,140,19,42,26,28,32
07.05.2019,11:04,140,19,42,26,28,32
07.05.2019,11:04,140,19,43,27,28,32
07.05.2019,11:04,140,19,43,27,28,32
07.05.2019,11:04,140,19,44,27,28,32
07.05.2019,11:04,140,19,44,27,28,32
07.05.2019,11:04,140,19,45,27,29,32
07.05.2019,11:04,140,19,45,27,29,33
07.05.2019,11:04,140,19,46,27,29,33
07.05.2019,11:04,140,19,46,27,29,33
07.05.2019,11:04,140,19,47,28,29,33
07.05.2019,11:04,140,19,48,28,30,33
07.05.2019,11:04,140,19,48,28,30,33
07.05.2019,11:04,140,19,49,28,30,33
07.05.2019,11:04,140,19,49,28,30,33
07.05.2019,11:04,140,19,50,28,30,33
07.05.2019,11:04,140,19,51,28,30,34
07.05.2019,11:04,140,19,51,29,31,34
07.05.2019,11:04,140,19,52,29,31,34
07.05.2019,11:04,140,19,52,29,31,34
07.05.2019,11:04,140,19,53,29,31,34
07.05.2019,11:05,140,19,53,29,32,34
07.05.2019,11:05,140,19,54,29,32,34
07.05.2019,11:05,140,19,55,30,32,34
07.05.2019,11:05,140,19,55,30,32,34
07.05.2019,11:05,140,19,56,30,32,34
07.05.2019,11:05,140,19,56,30,33,34
07.05.2019,11:05,140,19,57,30,33,34
07.05.2019,11:05,140,19,57,30,33,35
07.05.2019,11:05,140,19,58,30,33,35
07.05.2019,11:05,140,19,58,31,34,35
07.05.2019,11:05,140,19,59,31,34,35
07.05.2019,11:05,140,19,59,31,34,35
07.05.2019,11:05,140,19,60,31,34,35
07.05.2019,11:05,140,19,60,31,34,35
07.05.2019,11:05,140,19,61,31,35,35
07.05.2019,11:05,140,19,61,32,35,36
07.05.2019,11:05,140,19,62,32,35,36
07.05.2019,11:05,140,19,62,32,35,36
07.05.2019,11:05,140,19,63,32,36,36
07.05.2019,11:05,140,19,63,32,36,36
07.05.2019,11:05,140,19,64,32,36,36
07.05.2019,11:05,140,19,64,33,36,36
07.05.2019,11:05,140,19,65,33,36,36
07.05.2019,11:05,140,19,65,33,37,36
07.05.2019,11:05,140,19,66,33,37,36
07.05.2019,11:05,140,19,66,33,37,37
07.05.2019,11:05,140,19,67,34,37,37
07.05.2019,11:05,140,19,67,34,38,37
07.05.2019,11:05,140,19,68,34,38,37
07.05.2019,11:05,140,19,68,34,38,37
07.05.2019,11:05,140,19,68,34,38,37
07.05.2019,11:05,140,19,69,34,39,37
07.05.2019,11:05,140,19,69,34,39,37
07.05.2019,11:05,140,19,70,35,39,38
07.05.2019,11:05,140,19,70,35,39,38
07.05.2019,11:05,140,19,71,35,40,38
07.05.2019,11:05,140,19,71,35,40,38
07.05.2019,11:05,140,19,72,35,40,38
07.05.2019,11:05,140,19,72,36,40,38
07.05.2019,11:05,140,19,72,36,40,38
07.05.2019,11:05,140,19,73,36,41,38
07.05.2019,11:05,140,19,73,36,41,38
07.05.2019,11:05,140,19,74,36,41,39
07.05.2019,11:05,140,19,74,36,41,39
07.05.2019,11:05,140,19,74,37,42,39
07.05.2019,11:05,140,19,75,37,42,39
07.05.2019,11:05,140,19,75,37,42,39
07.05.2019,11:05,140,19,76,37,42,39
07.05.2019,11:05,140,19,76,37,42,39
07.05.2019,11:05,140,19,76,38,43,40
07.05.2019,11:05,140,19,77,38,43,40
07.05.2019,11:05,140,19,77,38,43,40
07.05.2019,11:05,140,19,77,38,43,40
07.05.2019,11:05,140,19,78,38,44,40
07.05.2019,11:05,140,19,78,38,44,40
07.05.2019,11:05,140,19,78,39,44,40
07.05.2019,11:05,140,19,79,39,44,40
07.05.2019,11:05,140,19,79,39,45,40
07.05.2019,11:05,140,19,80,39,45,41
07.05.2019,11:05,140,19,80,39,45,41
07.05.2019,11:06,140,19,80,40,45,41
07.05.2019,11:06,140,19,81,40,46,41
07.05.2019,11:06,140,19,81,40,46,41
07.05.2019,11:06,140,19,81,40,46,41
07.05.2019,11:06,140,19,82,40,46,42
07.05.2019,11:06,140,19,82,40,46,42
07.05.2019,11:06,140,19,82,41,47,42
07.05.2019,11:06,140,19,83,41,47,42
07.05.2019,11:06,140,19,83,41,47,42
07.05.2019,11:06,140,19,83,41,47,42
07.05.2019,11:06,140,19,84,41,48,42
07.05.2019,11:06,140,19,84,42,48,42
07.05.2019,11:06,140,19,84,42,48,42
07.05.2019,11:06,140,19,85,42,48,43
07.05.2019,11:06,140,19,85,42,48,43
07.05.2019,11:06,140,19,85,42,49,43
07.05.2019,11:06,140,19,86,42,49,43
07.05.2019,11:06,140,19,86,42,49,43
07.05.2019,11:06,140,19,86,43,49,43
07.05.2019,11:06,140,19,86,43,50,44
07.05.2019,11:06,140,19,87,43,50,44
07.05.2019,11:06,140,19,87,43,50,44
07.05.2019,11:06,140,19,87,43,50,44
07.05.2019,11:06,140,19,88,44,50,44
07.05.2019,11:06,140,19,88,44,50,44
07.05.2019,11:06,140,19,88,44,51,44
07.05.2019,11:06,140,19,88,44,51,44
07.05.2019,11:06,140,19,89,44,51,45
07.05.2019,11:06,140,19,89,44,51,45
07.05.2019,11:06,140,19,89,44,52,45
07.05.2019,11:06,140,19,89,45,52,45
07.05.2019,11:06,140,19,90,45,52,45
07.05.2019,11:06,140,19,90,45,52,45
07.05.2019,11:06,140,19,90,45,52,45
07.05.2019,11:06,140,19,90,45,53,46
07.05.2019,11:06,140,19,91,46,53,46
07.05.2019,11:06,140,19,91,46,53,46
07.05.2019,11:06,140,19,91,46,53,46
07.05.2019,11:06,140,19,91,46,53,46
07.05.2019,11:06,140,19,92,46,54,46
07.05.2019,11:06,140,19,92,46,54,46
07.05.2019,11:06,140,19,92,46,54,46
07.05.2019,11:06,140,19,92,47,54,47
07.05.2019,11:06,140,19,93,47,54,47
07.05.2019,11:06,140,19,93,47,55,47
07.05.2019,11:06,140,19,93,47,55,47
07.05.2019,11:06,140,19,93,47,55,47
07.05.2019,11:06,140,19,94,48,55,47
07.05.2019,11:06,140,19,94,48,55,48
07.05.2019,11:06,140,19,94,48,56,48
07.05.2019,11:06,140,19,94,48,56,48
07.05.2019,11:06,140,19,94,48,56,48
07.05.2019,11:06,140,19,95,48,56,48
07.05.2019,11:06,140,19,95,48,56,48
07.05.2019,11:06,140,19,95,49,57,48
07.05.2019,11:06,140,19,95,49,57,48
07.05.2019,11:06,140,19,95,49,57,49
07.05.2019,11:06,140,19,96,49,57,49
07.05.2019,11:06,140,19,96,49,57,49
07.05.2019,11:06,140,19,96,49,58,49
07.05.2019,11:07,140,19,96,50,58,49
07.05.2019,11:07,140,19,96,50,58,49
07.05.2019,11:07,140,19,97,50,58,49
07.05.2019,11:07,140,19,97,50,58,50
07.05.2019,11:07,140,19,97,50,58,50
07.05.2019,11:07,140,19,97,50,59,50
07.05.2019,11:07,140,19,97,50,59,50
07.05.2019,11:07,140,19,98,51,59,50
07.05.2019,11:07,140,19,98,51,59,50
07.05.2019,11:07,140,19,98,51,59,50
07.05.2019,11:07,140,19,98,51,60,50
07.05.2019,11:07,140,19,98,51,60,51
07.05.2019,11:07,140,19,98,51,60,51
07.05.2019,11:07,140,19,99,52,60,51
07.05.2019,11:07,140,19,99,52,60,51
07.05.2019,11:07,140,19,99,52,60,51
07.05.2019,11:07,140,19,99,52,61,51
07.05.2019,11:07,140,19,99,52,61,52
07.05.2019,11:07,140,19,100,52,61,52
07.05.2019,11:07,140,19,100,52,61,52
07.05.2019,11:07,140,19,100,52,61,52
07.05.2019,11:07,140,19,100,53,62,52
07.05.2019,11:07,140,19,100,53,62,52
07.05.2019,11:07,140,19,100,53,62,52
07.05.2019,11:07,140,19,101,53,62,52
07.05.2019,11:07,140,19,101,53,62,53
07.05.2019,11:07,140,19,101,53,62,53
07.05.2019,11:07,140,19,101,54,62,53
07.05.2019,11:07,140,19,101,54,63,53
07.05.2019,11:07,140,19,101,54,63,53
07.05.2019,11:07,140,19,102,54,63,53
07.05.2019,11:07,140,19,102,54,63,53
07.05.2019,11:07,140,19,102,54,63,54
07.05.2019,11:07,140,19,102,54,64,54
07.05.2019,11:07,140,19,102,54,64,54
07.05.2019,11:07,140,19,102,55,64,54
07.05.2019,11:07,140,19,102,55,64,54
07.05.2019,11:07,140,19,103,55,64,54
07.05.2019,11:07,140,19,103,55,64,54
07.05.2019,11:07,140,19,103,55,64,54
07.05.2019,11:07,140,19,103,55,65,55
07.05.2019,11:07,140,19,103,55,65,55
07.05.2019,11:07,140,19,103,56,65,55
07.05.2019,11:07,140,19,103,56,65,55
07.05.2019,11:07,140,19,104,56,65,55
07.05.2019,11:07,140,19,104,56,65,55
07.05.2019,11:07,140,19,104,56,66,55
07.05.2019,11:07,140,19,104,56,66,56
07.05.2019,11:07,140,19,104,56,66,56
07.05.2019,11:07,140,19,104,56,66,56
07.05.2019,11:07,140,19,104,57,66,56
07.05.2019,11:07,140,19,104,57,66,56
07.05.2019,11:07,140,19,105,57,66,56
07.05.2019,11:07,140,19,105,57,67,56
07.05.2019,11:07,140,19,105,57,67,56
07.05.2019,11:07,140,19,105,57,67,56
07.05.2019,11:07,140,19,105,57,67,57
07.05.2019,11:07,140,19,105,58,67,57
07.05.2019,11:07,140,19,105,58,68,57
07.05.2019,11:07,140,19,106,58,68,57
07.05.2019,11:08,140,19,106,58,68,57
07.05.2019,11:08,140,19,106,58,68,57
07.05.2019,11:08,140,19,106,58,68,57
07.05.2019,11:08,140,19,106,58,68,58
07.05.2019,11:08,140,19,106,58,68,58
07.05.2019,11:08,140,19,106,58,68,58
07.05.2019,11:08,140,19,106,59,69,58
07.05.2019,11:08,140,19,106,59,69,58
07.05.2019,11:08,140,19,106,59,69,58
07.05.2019,11:08,140,19,107,59,69,58
07.05.2019,11:08,140,19,107,59,69,58
07.05.2019,11:08,140,19,107,59,69,59
07.05.2019,11:08,140,19,107,59,70,59
07.05.2019,11:08,140,19,107,60,70,59
07.05.2019,11:08,140,19,107,60,70,59
07.05.2019,11:08,140,19,107,60,70,59
07.05.2019,11:08,140,19,107,60,70,59
07.05.2019,11:08,140,19,107,60,70,59
07.05.2019,11:08,140,19,108,60,70,60
07.05.2019,11:08,140,19,108,60,70,60
07.05.2019,11:08,140,19,108,60,71,60
07.05.2019,11:08,140,19,108,60,71,60
07.05.2019,11:08,140,19,108,60,71,60
07.05.2019,11:08,140,19,108,61,71,60
07.05.2019,11:08,140,19,108,61,71,60
07.05.2019,11:08,140,19,108,61,71,60
07.05.2019,11:08,140,19,108,61,72,60
07.05.2019,11:08,140,19,108,61,72,61
07.05.2019,11:08,140,19,109,61,72,61
07.05.2019,11:08,140,19,109,61,72,61
07.05.2019,11:08,140,19,109,62,72,61
07.05.2019,11:08,140,19,109,62,72,61
07.05.2019,11:08,140,19,109,62,72,61
07.05.2019,11:08,140,19,109,62,72,61
07.05.2019,11:08,140,19,109,62,72,61
07.05.2019,11:08,140,19,109,62,73,62
07.05.2019,11:08,140,19,109,62,73,62
07.05.2019,11:08,140,19,109,62,73,62
07.05.2019,11:08,140,19,110,62,73,62
07.05.2019,11:08,140,19,110,62,73,62
07.05.2019,11:08,140,19,110,63,73,62
07.05.2019,11:08,140,19,110,63,74,62
07.05.2019,11:08,140,19,110,63,74,62
07.05.2019,11:08,140,19,110,63,74,62
07.05.2019,11:08,140,19,110,63,74,63
07.05.2019,11:08,140,19,110,63,74,63
07.05.2019,11:08,140,19,110,63,74,63
07.05.2019,11:08,140,19,110,63,74,63
07.05.2019,11:08,140,19,110,64,74,63
07.05.2019,11:08,140,19,110,64,74,63
07.05.2019,11:08,140,19,111,64,75,63
07.05.2019,11:08,140,19,111,64,75,64
07.05.2019,11:08,140,19,111,64,75,64
07.05.2019,11:08,140,19,111,64,75,64
07.05.2019,11:08,140,19,111,64,75,64
07.05.2019,11:08,140,19,111,64,75,64
07.05.2019,11:08,140,19,111,64,75,64
07.05.2019,11:08,140,19,111,64,76,64
07.05.2019,11:08,140,19,111,64,76,64
07.05.2019,11:08,140,19,111,65,76,64
07.05.2019,11:09,140,19,112,65,76,64
07.05.2019,11:09,140,19,112,65,76,65
07.05.2019,11:09,140,19,112,65,76,65
07.05.2019,11:09,140,19,112,65,76,65
07.05.2019,11:09,140,19,112,65,76,65
07.05.2019,11:09,140,19,112,65,76,65
07.05.2019,11:09,140,19,112,65,77,65
07.05.2019,11:09,140,19,112,66,77,65
07.05.2019,11:09,140,19,112,66,77,66
07.05.2019,11:09,140,19,112,66,77,66
07.05.2019,11:09,140,19,112,66,77,66
07.05.2019,11:09,140,19,112,66,77,66
07.05.2019,11:09,140,19,112,66,77,66
07.05.2019,11:09,140,19,112,66,77,66
07.05.2019,11:09,140,19,113,66,78,66
07.05.2019,11:09,140,19,113,66,78,66
07.05.2019,11:09,140,19,113,66,78,66
07.05.2019,11:09,140,19,113,67,78,66
07.05.2019,11:09,140,19,113,67,78,67
07.05.2019,11:09,140,19,113,67,78,67
07.05.2019,11:09,140,19,113,67,78,67
07.05.2019,11:09,140,19,113,67,78,67
07.05.2019,11:09,140,19,113,67,78,67
07.05.2019,11:09,140,19,113,67,79,67
07.05.2019,11:09,140,19,113,67,79,67
07.05.2019,11:09,140,19,113,67,79,67
07.05.2019,11:09,140,19,113,68,79,68
07.05.2019,11:09,140,19,114,68,79,68
07.05.2019,11:09,140,19,114,68,79,68
07.05.2019,11:09,140,19,114,68,79,68
07.05.2019,11:09,140,19,114,68,79,68
07.05.2019,11:09,140,19,114,68,80,68
07.05.2019,11:09,140,19,114,68,80,68
07.05.2019,11:09,140,19,114,68,80,68
07.05.2019,11:09,140,19,114,68,80,68
07.05.2019,11:09,140,19,114,68,80,68
07.05.2019,11:09,140,19,114,68,80,69
07.05.2019,11:09,140,19,114,68,80,69
07.05.2019,11:09,140,19,114,69,80,69
07.05.2019,11:09,140,19,114,69,80,69
07.05.2019,11:09,140,19,114,69,80,69
07.05.2019,11:09,140,19,114,69,81,69
07.05.2019,11:09,140,19,114,69,81,69
07.05.2019,11:09,140,19,114,69,81,69
07.05.2019,11:09,140,19,115,69,81,70
07.05.2019,11:09,140,19,115,69,81,70
07.05.2019,11:09,140,19,115,69,81,70
07.05.2019,11:09,140,19,115,70,81,70
07.05.2019,11:09,140,19,115,70,81,70
07.05.2019,11:09,140,19,115,70,82,70
07.05.2019,11:09,140,19,115,70,82,70
07.05.2019,11:09,140,19,115,70,82,70
07.05.2019,11:09,140,19,115,70,82,70
07.05.2019,11:09,140,19,115,70,82,70
07.05.2019,11:09,140,19,115,70,82,70
07.05.2019,11:09,140,19,115,70,82,71
07.05.2019,11:09,140,19,115,70,82,71
07.05.2019,11:09,140,19,115,70,82,71
07.05.2019,11:09,140,19,115,70,82,71
07.05.2019,11:09,140,19,115,71,82,71
07.05.2019,11:10,140,19,116,71,83,71
07.05.2019,11:10,140,19,116,71,83,71
